['﻿title', 'artist', 'top genre', 'year released', 'added', 'bpm', 'nrgy', 'dnce', 'dB', 'live', 'val', 'dur', 'acous', 'spch', 'pop', 'top year', 'artist type']
['How To Love', 'Lil Wayne', 'hip hop', '2011', '2020‑06‑16', '154', '66', '64', '-6', '11', '27', '240', '0', '4', '72', '2011', 'Solo']
['Party Rock Anthem', 'LMFAO', 'dance pop', '2011', '2020‑06‑16', '130', '73', '75', '-4', '27', '36', '262', '2', '14', '74', '2011', 'Duo']
['Sexy And I Know It', 'LMFAO', 'dance pop', '2011', '2020‑06‑16', '130', '86', '71', '-4', '19', '80', '199', '10', '32', '68', '2011', 'Duo']
['The Show Goes On', 'Lupe Fiasco', 'chicago rap', '2011', '2020‑06‑16', '143', '89', '59', '-4', '16', '65', '240', '2', '12', '76', '2011', 'Solo']
['I Follow Rivers - The Magician Remix', 'Lykke Li', 'art pop', '2021', '2020‑06‑25', '122', '70', '79', '-6', '8', '30', '280', '2', '4', '67', '2011', 'Solo']
['Midnight City', 'M83', 'french shoegaze', '2011', '2020‑06‑16', '105', '71', '53', '-7', '18', '32', '241', '2', '4', '76', '2011', 'Duo']
['Donald Trump', 'Mac Miller', 'hip hop', '2011', '2020‑06‑16', '163', '90', '64', '-7', '39', '84', '166', '12', '12', '67', '2011', 'Solo']
['Buzzin Remix', 'Mann', 'pop rap', '2011', '2020‑06‑16', '104', '94', '69', '-4', '28', '54', '224', '9', '15', '53', '2011', 'Solo']
['Moves Like Jagger - Studio Recording From "The Voice" Performance', 'Maroon 5', 'pop', '2010', '2020‑06‑16', '128', '76', '72', '-4', '31', '62', '201', '1', '5', '75', '2011', 'Band/Group']
['Sure Thing', 'Miguel', 'dance pop', '2010', '2020‑06‑16', '81', '61', '68', '-8', '19', '50', '195', '3', '10', '84', '2011', 'Solo']
['When We Stand Together', 'Nickelback', 'alternative metal', '2011', '2020‑06‑16', '188', '90', '45', '-4', '4', '88', '191', '0', '5', '71', '2011', 'Band/Group']
['Super Bass', 'Nicki Minaj', 'dance pop', '2010', '2020‑06‑16', '127', '86', '72', '-4', '60', '67', '200', '27', '20', '83', '2011', 'Solo']
['L.I.F.E.G.O.E.S.O.N.', 'Noah And The Whale', 'indie folk', '2011', '2020‑06‑16', '82', '75', '60', '-6', '35', '61', '228', '21', '4', '63', '2011', 'Band/Group']
['Heart Skips a Beat (feat. Rizzle Kicks)', 'Olly Murs', 'dance pop', '2011', '2020‑06‑16', '111', '88', '84', '-4', '8', '88', '202', '14', '6', '66', '2011', 'Solo']
['Good Life', 'OneRepublic', 'dance pop', '2009', '2020‑06‑16', '95', '69', '63', '-8', '13', '65', '253', '8', '5', '78', '2011', 'Band/Group']
['Raise Your Glass', 'P!nk', 'dance pop', '2010', '2020‑06‑16', '122', '71', '70', '-5', '3', '62', '203', '0', '8', '81', '2011', 'Solo']
['Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)', 'Pitbull', 'dance pop', '2011', '2020‑06‑16', '129', '94', '67', '-3', '30', '53', '252', '19', '16', '86', '2011', 'Solo']
['Hey Baby (Drop It to the Floor) (feat. T-Pain)', 'Pitbull', 'dance pop', '2011', '2020‑06‑16', '128', '91', '60', '-3', '26', '76', '234', '4', '9', '76', '2011', 'Solo']
['Read All About It', 'Professor Green', 'grime', '2021', '2020‑06‑16', '101', '75', '66', '-6', '22', '45', '236', '34', '4', '35', '2011', 'Solo']
['The Adventures of Rain Dance Maggie', 'Red Hot Chili Peppers', 'alternative rock', '2011', '2020‑06‑16', '106', '73', '68', '-5', '26', '58', '282', '0', '3', '71', '2011', 'Band/Group']
['S&M', 'Rihanna', 'barbadian pop', '2010', '2020‑06‑16', '128', '68', '77', '-5', '9', '84', '244', '1', '4', '82', '2011', 'Solo']
['We Found Love', 'Rihanna', 'barbadian pop', '2011', '2020‑06‑16', '128', '77', '74', '-4', '11', '60', '215', '3', '4', '80', '2011', 'Solo']
["What's My Name?", 'Rihanna', 'barbadian pop', '2010', '2020‑06‑16', '100', '78', '69', '-3', '8', '56', '263', '18', '7', '75', '2011', 'Solo']
['Down With The Trumpets', 'Rizzle Kicks', 'uk hip hop', '2011', '2020‑06‑16', '115', '88', '75', '-5', '24', '79', '187', '9', '8', '65', '2011', 'Duo']
['Loca People - Radio Edit', 'Sak Noel', 'electro house', '2011', '2020‑06‑16', '128', '81', '93', '-3', '5', '70', '216', '0', '6', '45', '2011', 'Solo']
['Love You Like A Love Song', 'Selena Gomez & The Scene', 'dance pop', '2011', '2020‑06‑16', '117', '68', '86', '-4', '7', '92', '188', '8', '5', '85', '2011', 'Band/Group']
['Who Says', 'Selena Gomez & The Scene', 'dance pop', '2011', '2020‑06‑16', '101', '93', '68', '-3', '15', '74', '196', '8', '5', '81', '2011', 'Band/Group']
['Sweat - Remix', 'Snoop Dogg', 'g funk', '2011', '2020‑06‑16', '130', '73', '81', '-6', '8', '73', '196', '6', '3', '73', '2011', 'Solo']
['Save The World', 'Swedish House Mafia', 'dance pop', '2011', '2020‑06‑16', '127', '67', '51', '-8', '8', '40', '213', '1', '5', '70', '2011', 'Band/Group']
['Higher', 'Taio Cruz', 'dance pop', '2011', '2020‑06‑16', '128', '92', '67', '-5', '13', '70', '188', '0', '8', '51', '2011', 'Solo']
['If I Die Young', 'The Band Perry', 'contemporary country', '2010', '2020‑06‑16', '131', '50', '61', '-7', '28', '36', '223', '35', '3', '74', '2011', 'Band/Group']
['Glad You Came', 'The Wanted', 'boy band', '2011', '2020‑06‑16', '127', '85', '72', '-4', '11', '45', '198', '3', '6', '83', '2011', 'Band/Group']
['More - RedOne Jimmy Joker Remix', 'Usher', 'atl hip hop', '2010', '2020‑06‑16', '125', '89', '55', '-3', '35', '79', '220', '0', '5', '72', '2011', 'Solo']
['No Hands (feat. Roscoe Dash & Wale)', 'Waka Flocka Flame', 'atl hip hop', '2010', '2020‑06‑16', '131', '60', '76', '-6', '24', '36', '264', '1', '4', '81', '2011', 'Solo']
['Black and Yellow', 'Wiz Khalifa', 'dance pop', '2011', '2020‑06‑16', '164', '83', '68', '-5', '27', '54', '218', '6', '7', '80', '2011', 'Solo']
['Roll Up', 'Wiz Khalifa', 'dance pop', '2011', '2020‑06‑16', '125', '81', '52', '-5', '9', '60', '228', '5', '19', '68', '2011', 'Solo']
['Skyfall', 'Adele', 'british soul', '2012', '2020‑06‑22', '76', '55', '35', '-7', '11', '8', '286', '42', '3', '80', '2012', 'Solo']
['Rumour Has It', 'Adele', 'british soul', '2011', '2020‑06‑22', '120', '75', '61', '-5', '17', '57', '223', '62', '4', '72', '2012', 'Solo']
['Years', 'Alesso', 'dance pop', '2013', '2020‑06‑22', '128', '82', '37', '-6', '17', '32', '195', '0', '8', '53', '2012', 'Solo']
['Too Close', 'Alex Clare', 'modern alternative rock', '2011', '2020‑06‑22', '126', '71', '58', '-4', '11', '29', '257', '1', '4', '67', '2012', 'Solo']
['Breezeblocks', 'alt-J', 'indie rock', '2012', '2020‑06‑22', '150', '66', '62', '-7', '21', '29', '227', '10', '3', '77', '2012', 'Band/Group']
['R U Mine?', 'Arctic Monkeys', 'garage rock', '2012', '2020‑06‑22', '97', '79', '52', '-5', '70', '68', '200', '5', '3', '39', '2012', 'Band/Group']
['One Day / Reckoning Song (Wankelmut Remix) - Radio Edit', 'Asaf Avidan', 'israeli pop', '2012', '2020‑06‑22', '119', '67', '83', '-6', '17', '53', '215', '22', '6', '72', '2012', 'Solo']
['Levels - Radio Edit', 'Avicii', 'dance pop', '2011', '2020‑06‑22', '126', '89', '58', '-6', '31', '46', '200', '5', '3', '82', '2012', 'Solo']
['Silhouettes - Original Radio Edit', 'Avicii', 'dance pop', '2012', '2020‑06‑22', '128', '80', '61', '-6', '12', '84', '212', '16', '5', '68', '2012', 'Solo']
['212', 'Azealia Banks', 'dance pop', '2014', '2020‑06‑22', '126', '77', '85', '-6', '8', '62', '205', '1', '26', '73', '2012', 'Solo']
['So Good', 'B.o.B', 'atl hip hop', '2012', '2020‑06‑22', '86', '90', '66', '-5', '22', '59', '213', '4', '14', '70', '2012', 'Solo']
['Locked out of Heaven', 'Bruno Mars', 'dance pop', '2012', '2020‑06‑11', '144', '70', '73', '-4', '31', '87', '233', '5', '4', '91', '2012', 'Solo']
['It Will Rain', 'Bruno Mars', 'dance pop', '2011', '2020‑06‑22', '150', '84', '58', '-7', '8', '48', '258', '34', '5', '74', '2012', 'Solo']
['Feel So Close - Radio Edit', 'Calvin Harris', 'dance pop', '2012', '2020‑06‑22', '128', '92', '71', '-3', '20', '92', '206', '0', '3', '85', '2012', 'Solo']
["Let's Go (feat. Ne-Yo)", 'Calvin Harris', 'dance pop', '2012', '2020‑06‑22', '128', '88', '71', '-3', '29', '88', '233', '1', '6', '71', '2012', 'Solo']
["We'll Be Coming Back (feat. Example)", 'Calvin Harris', 'dance pop', '2012', '2020‑06‑22', '128', '95', '60', '-4', '60', '57', '234', '0', '9', '68', '2012', 'Solo']
['Call Me Maybe', 'Carly Rae Jepsen', 'canadian pop', '2012', '2020‑06‑22', '120', '58', '78', '-7', '11', '66', '193', '1', '4', '76', '2012', 'Solo']
['Blown Away', 'Carrie Underwood', 'contemporary country', '2012', '2022‑03‑22', '137', '84', '53', '-3', '3', '39', '240', '9', '4', '68', '2012', 'Solo']
['Want U Back', 'Cher Lloyd', 'dance pop', '2012', '2020‑06‑22', '98', '89', '69', '-3', '56', '56', '215', '6', '9', '71', '2012', 'Solo']
['Turn Up the Music', 'Chris Brown', 'dance pop', '2012', '2020‑06‑22', '130', '84', '59', '-6', '16', '64', '228', '0', '10', '69', '2012', 'Solo']
['Paradise', 'Coldplay', 'permanent wave', '2011', '2020‑06‑22', '140', '59', '45', '-7', '8', '21', '279', '5', '3', '88', '2012', 'Band/Group']
['Princess of China', 'Coldplay', 'permanent wave', '2011', '2020‑06‑22', '85', '69', '42', '-6', '29', '24', '239', '0', '3', '72', '2012', 'Band/Group']
['Turn Me On (feat. Nicki Minaj)', 'David Guetta', 'big room', '2011', '2020‑06‑22', '128', '79', '71', '-2', '57', '41', '200', '5', '6', '64', '2012', 'Solo']
['In The Dark', 'DEV', 'dance pop', '2012', '2020‑06‑22', '125', '82', '74', '-4', '33', '44', '226', '0', '7', '62', '2012', 'Solo']
['Latch', 'Disclosure', 'edm', '2013', '2020‑06‑22', '122', '74', '73', '-5', '9', '54', '256', '2', '9', '75', '2012', 'Duo']
['Hot Right Now - Edit', 'DJ Fresh', 'dancefloor dnb', '2010', '2020‑06‑22', '175', '96', '51', '-2', '12', '39', '179', '1', '4', '41', '2012', 'Solo']
['Take Care', 'Drake', 'canadian hip hop', '2011', '2020‑06‑22', '122', '52', '63', '-10', '9', '30', '277', '3', '27', '81', '2012', 'Solo']
['The Motto', 'Drake', 'canadian hip hop', '2011', '2020‑06‑22', '202', '44', '77', '-9', '11', '39', '182', '0', '36', '79', '2012', 'Solo']
['Lights - Single Version', 'Ellie Goulding', 'dance pop', '2010', '2020‑06‑22', '120', '80', '68', '-6', '13', '78', '211', '3', '4', '68', '2012', 'Solo']
['Good Feeling', 'Flo Rida', 'dance pop', '2012', '2020‑06‑22', '128', '89', '71', '-4', '31', '68', '248', '6', '7', '81', '2012', 'Solo']
['Spectrum (Say My Name) - Calvin Harris Remix', 'Florence + The Machine', 'baroque pop', '2012', '2020‑06‑22', '126', '95', '58', '-4', '10', '59', '218', '0', '5', '59', '2012', 'Band/Group']
['Lost', 'Frank Ocean', 'alternative r&b', '2012', '2020‑06‑22', '123', '60', '91', '-5', '17', '50', '234', '3', '23', '91', '2012', 'Solo']
['Thinkin Bout You', 'Frank Ocean', 'alternative r&b', '2012', '2020‑06‑22', '130', '34', '72', '-11', '10', '20', '201', '41', '5', '81', '2012', 'Solo']
['We Are Young (feat. Janelle Monáe)', 'fun.', 'baroque pop', '2012', '2020‑06‑22', '184', '64', '38', '-6', '8', '74', '251', '2', '8', '79', '2012', 'Band/Group']
['Some Nights', 'fun.', 'baroque pop', '2012', '2020‑06‑22', '108', '74', '67', '-7', '9', '39', '277', '2', '5', '76', '2012', 'Band/Group']
